site_id,site_name,address,zip,block,lot,su_act_rec,su_aal,su_beauty,su_chi_act,su_scl_con,su_flw_bed,su_fg_coop,su_fg_ip,su_fg_org,su_inc_gen,su_mmrl,su_trees,su_wh_ak,su_cnt_gar,su_rn_gar,mg_type,src_bgs,src_bcmg,src_pp,src_pid,src_clf,src_pid_al,src_pid_rp,src_pid_g,src_pid_f,src_ggi,point_x,point_y,record
11,,1620 riggs ave,,42,83,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.644054,39.301228,"[{'lot': '83', 'lot_zeroes': '83', 'block_zeroes': '42', 'block': '42', 'site_name': nan, 'address': '1620 riggs ave', 'src': 'pp'}]"
19,,1428 w lafayette ave,,76,58,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.640691,39.299212,"[{'lot': '58', 'lot_zeroes': '58', 'block_zeroes': '76', 'block': '76', 'site_name': nan, 'address': '1428 w lafayette ave', 'src': 'pp'}]"
32,amazing rose street garden,"600 block of n. port st. baltimore, md",21224,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,vegetable garden,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.581358,39.298106,"[{'lot': nan, 'lot_zeroes': nan, 'block_zeroes': nan, 'block': nan, 'site_name': 'amazing rose street garden', 'address': '600 block of n. port st. baltimore, md', 'src': 'bcmg14'}]"
36,mt washington arboretum community garden,"1 tanbark dr, baltimore, md",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,vegetable garden,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.65641695,39.36691464,"[{'lot': nan, 'lot_zeroes': nan, 'block_zeroes': nan, 'block': nan, 'site_name': 'mt washington arboretum community garden', 'address': 'tanbark dr, baltimore, md', 'src': 'bcmg14'}, {'lot': nan, 'lot_zeroes': nan, 'block_zeroes': nan, 'block': nan, 'site_name': 'mt washington arboretum community garden', 'address': '1 tanbark dr, baltimore, md', 'src': 'bcmg15'}]"
39,,616 n mount st,,109,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.644464,39.295886,"[{'lot': '8', 'lot_zeroes': '8', 'block_zeroes': '109', 'block': '109', 'site_name': nan, 'address': '616 n mount st', 'src': 'pp'}]"
43,,2123 w saratoga st,,160,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.650933,39.291647,"[{'lot': '12', 'lot_zeroes': '12', 'block_zeroes': '160', 'block': '160', 'site_name': nan, 'address': '2123 w saratoga st', 'src': 'pp'}]"
44,,2125 w saratoga st,,160,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.65099,39.291642,"[{'lot': '13', 'lot_zeroes': '13', 'block_zeroes': '160', 'block': '160', 'site_name': nan, 'address': '2125 w saratoga st', 'src': 'pp'}]"
45,,2127 w saratoga st,,160,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.651034,39.291646,"[{'lot': '14', 'lot_zeroes': '14', 'block_zeroes': '160', 'block': '160', 'site_name': nan, 'address': '2127 w saratoga st', 'src': 'pp'}]"
46,,2129 w saratoga st,,160,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.651078,39.291639,"[{'lot': '15', 'lot_zeroes': '15', 'block_zeroes': '160', 'block': '160', 'site_name': nan, 'address': '2129 w saratoga st', 'src': 'pp'}]"
47,,2131 w saratoga st,,160,16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.651135,39.291634,"[{'lot': '16', 'lot_zeroes': '16', 'block_zeroes': '160', 'block': '160', 'site_name': nan, 'address': '2131 w saratoga st', 'src': 'pp'}]"
